,school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extra,approved
0,GP,F,18,U,A,mother,2,2,0,no,no,3,6,5,6,6,0,0
1,GP,F,17,U,T,father,1,2,0,no,yes,3,4,5,5,6,0,0
2,GP,F,15,U,T,mother,1,2,3,yes,yes,3,10,7,8,10,1,1
3,GP,F,15,U,T,mother,1,3,0,yes,yes,5,2,15,14,15,1,1
4,GP,F,16,U,T,father,1,2,0,yes,no,5,4,6,10,10,1,1
5,GP,M,16,U,T,mother,1,2,0,yes,yes,5,10,15,15,15,1,1
6,GP,M,16,U,T,mother,1,2,0,no,yes,3,0,12,12,11,1,1
7,GP,F,17,U,A,mother,2,2,0,no,no,1,6,6,5,6,0,0
8,GP,M,15,U,A,mother,1,2,0,yes,yes,1,0,16,18,19,0,1
9,GP,M,15,U,T,mother,1,2,0,yes,yes,5,0,14,15,15,1,1
10,GP,F,15,U,T,mother,1,2,0,yes,yes,2,0,10,8,9,0,0
11,GP,F,15,U,T,father,3,3,0,no,yes,4,4,10,12,12,1,1
12,GP,M,15,U,T,father,1,1,0,yes,yes,5,2,14,14,14,1,1
13,GP,M,15,U,T,mother,2,2,0,yes,yes,3,2,10,10,11,1,1
14,GP,M,15,U,A,other,1,3,0,no,yes,3,0,14,16,16,0,1
15,GP,F,16,U,T,mother,1,1,0,no,yes,2,4,14,14,14,1,1
16,GP,F,16,U,T,mother,1,3,0,yes,yes,2,6,13,14,14,1,1
17,GP,F,16,U,T,mother,3,2,0,no,no,4,4,8,10,10,1,1
18,GP,M,17,U,T,mother,1,1,3,no,yes,5,16,6,5,5,0,0
19,GP,M,16,U,T,father,1,1,0,yes,yes,5,4,8,10,10,1,1
20,GP,M,15,U,T,mother,1,2,0,no,yes,1,0,13,14,15,1,1
21,GP,M,15,U,T,father,1,1,0,yes,yes,5,0,12,15,15,1,1
22,GP,M,16,U,T,mother,1,2,0,no,yes,5,2,15,15,16,0,1
23,GP,M,16,U,T,mother,2,2,0,no,yes,5,0,13,13,12,1,1
24,GP,F,15,R,T,mother,1,3,0,yes,yes,5,2,10,9,8,0,0
25,GP,F,16,U,T,mother,1,1,2,yes,yes,5,14,6,9,8,0,0
26,GP,M,15,U,T,mother,1,1,0,yes,yes,5,2,12,12,11,1,1
27,GP,M,15,U,T,mother,1,1,0,yes,yes,1,4,15,16,15,1,1
28,GP,M,16,U,A,mother,1,2,0,no,yes,5,4,11,11,11,1,1
29,GP,M,16,U,T,mother,1,2,0,yes,yes,5,16,10,12,11,0,0
30,GP,M,15,U,T,mother,1,2,0,yes,yes,5,0,9,11,12,1,1
31,GP,M,15,U,T,mother,2,2,0,no,yes,5,0,17,16,17,0,1
32,GP,M,15,R,T,mother,1,2,0,no,yes,5,0,17,16,16,0,1
33,GP,M,15,U,T,mother,1,2,0,no,yes,2,0,8,10,12,1,1
34,GP,M,16,U,T,mother,1,1,0,yes,yes,5,0,12,14,15,1,1
35,GP,F,15,U,T,father,2,1,0,no,no,5,0,8,7,6,0,0
36,GP,M,15,U,T,mother,1,3,0,no,yes,4,2,15,16,18,0,1
37,GP,M,16,R,A,mother,2,3,0,no,yes,5,7,15,16,15,1,1
38,GP,F,15,R,T,mother,1,3,0,yes,yes,5,2,12,12,11,1,1
39,GP,F,15,R,T,mother,1,1,0,yes,no,2,8,14,13,13,1,1
40,GP,F,16,U,T,mother,2,2,1,no,yes,3,25,7,10,11,0,0
41,GP,M,15,U,T,other,1,1,0,no,yes,5,8,12,12,12,1,1
42,GP,M,15,U,T,father,1,2,0,no,yes,5,2,19,18,18,0,1
43,GP,M,15,U,T,father,1,1,0,no,yes,1,0,8,8,11,1,1
44,GP,F,16,U,T,father,2,2,1,no,yes,5,14,10,10,9,0,0
45,GP,F,15,U,A,mother,1,2,0,yes,yes,5,8,8,8,6,0,0
46,GP,F,16,U,A,mother,1,2,0,no,yes,3,12,11,12,11,1,1
47,GP,M,16,U,T,mother,1,4,0,no,yes,2,4,19,19,20,0,1
48,GP,M,15,U,T,mother,1,2,0,yes,no,5,2,15,15,14,1,1
49,GP,F,15,U,T,father,1,2,1,no,yes,3,2,7,7,7,0,0
50,GP,F,16,U,T,mother,3,2,0,yes,yes,4,2,12,13,13,1,1
51,GP,F,15,U,T,mother,1,2,0,yes,yes,5,2,11,13,13,1,1
52,GP,M,15,U,A,father,2,1,1,no,no,5,6,11,11,10,1,1
53,GP,F,15,U,T,mother,1,1,0,yes,yes,5,0,8,10,11,1,1
54,GP,F,15,U,A,mother,1,1,0,yes,yes,1,6,10,13,13,1,1
55,GP,F,16,U,A,mother,1,2,0,yes,yes,2,8,8,9,10,1,1
56,GP,F,15,U,A,mother,1,2,0,yes,yes,1,0,14,15,15,1,1
57,GP,M,15,U,T,mother,1,2,0,no,no,5,4,14,15,15,1,1
58,GP,M,15,U,T,father,1,2,0,no,yes,5,2,9,10,9,0,0
59,GP,F,16,U,T,mother,1,2,0,no,yes,5,2,15,16,16,0,1
60,GP,F,16,R,T,mother,1,2,0,no,no,4,6,10,11,11,1,1
61,GP,F,16,U,T,father,4,1,0,no,yes,5,6,10,8,11,1,1
62,GP,F,16,U,T,father,1,2,0,no,yes,1,4,8,10,9,0,0
63,GP,F,16,U,T,mother,1,3,0,yes,yes,4,2,10,9,9,0,0
64,GP,F,15,U,T,father,1,2,0,no,yes,2,0,10,10,10,1,1
65,GP,F,16,U,T,mother,3,2,0,no,yes,1,2,16,15,15,1,1
66,GP,M,15,U,A,mother,1,4,0,no,yes,3,4,13,13,12,1,1
67,GP,F,16,U,T,mother,1,4,0,yes,yes,5,4,7,7,6,0,0
68,GP,F,15,R,T,mother,2,2,0,yes,yes,4,2,8,9,8,0,0
69,GP,F,15,R,T,father,2,4,0,no,yes,3,12,16,16,16,0,1
70,GP,M,16,U,T,father,2,4,0,yes,yes,5,0,13,15,15,1,1
71,GP,M,15,U,T,mother,1,4,0,no,yes,3,0,10,10,10,1,1
72,GP,F,15,R,T,mother,1,2,2,no,yes,5,2,8,6,5,0,0
73,GP,M,16,U,T,mother,1,1,0,no,no,5,2,12,12,14,1,1
74,GP,F,16,U,T,mother,1,2,0,yes,yes,5,54,11,12,11,0,0
75,GP,M,15,U,T,mother,1,2,0,yes,yes,5,6,9,9,10,1,1
76,GP,M,15,U,T,mother,2,4,0,no,yes,1,8,11,11,10,1,1
77,GP,F,16,U,T,mother,1,4,0,yes,yes,3,0,11,11,11,1,1
