,school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extra,approved
0,MS,M,18,R,T,mother,2,1,1,no,yes,5,10,11,13,13,1,1
1,MS,M,19,R,T,other,3,2,3,no,yes,2,8,8,7,8,0,0
2,MS,M,17,U,T,mother,2,2,0,yes,yes,3,2,13,13,13,1,1
3,MS,M,18,U,T,mother,1,1,1,no,yes,3,7,8,7,8,0,0
4,MS,M,19,R,T,other,3,1,1,no,yes,5,4,8,8,8,0,0
5,MS,M,17,R,T,mother,2,2,0,yes,yes,2,4,13,11,11,1,1
6,MS,F,18,U,T,father,1,2,0,no,no,5,0,10,9,9,0,0
7,MS,F,17,R,T,father,2,2,0,yes,yes,5,4,12,13,13,1,1
8,MS,F,17,U,A,mother,2,2,0,no,no,5,2,12,12,11,1,1
9,MS,M,18,U,T,father,2,1,0,no,yes,3,4,10,10,10,1,1
10,MS,F,18,U,T,father,2,3,0,no,yes,4,0,18,16,16,0,1
11,MS,F,18,R,A,mother,3,2,0,no,no,5,0,13,13,13,1,1
12,MS,M,18,R,T,mother,2,2,1,no,no,5,2,13,12,12,1,1
13,MS,F,18,U,T,mother,2,2,0,no,yes,3,0,11,11,10,1,1
14,MS,F,17,U,T,mother,1,2,0,yes,yes,1,0,16,15,15,1,1
15,MS,F,17,R,T,father,2,2,0,no,no,3,0,12,11,12,1,1
16,MS,M,18,R,T,mother,2,2,0,yes,no,3,4,10,10,10,1,1
17,MS,M,18,U,T,mother,2,3,0,yes,yes,5,0,13,13,13,1,1
18,MS,F,17,R,T,mother,3,1,1,yes,yes,1,0,7,6,0,0,0
19,MS,F,18,U,T,father,2,1,0,yes,yes,4,0,11,10,10,1,1
20,MS,F,18,R,T,father,3,2,0,yes,yes,5,10,14,12,11,1,1
21,MS,F,19,U,T,other,2,2,2,no,no,3,4,7,7,9,0,0
22,MS,M,18,R,T,father,3,1,0,yes,yes,3,3,14,12,12,1,1
23,MS,F,17,U,T,mother,1,3,0,no,no,3,8,13,11,11,1,1
24,MS,F,17,R,T,mother,1,1,0,no,yes,1,14,6,5,5,0,0
25,MS,F,18,R,T,mother,2,3,0,no,yes,1,0,19,18,19,0,1
26,MS,F,18,R,T,mother,4,3,0,no,yes,4,2,8,8,10,1,1
27,MS,F,20,U,T,other,2,3,2,yes,yes,3,4,15,14,15,1,1
28,MS,F,18,R,T,mother,1,2,0,yes,yes,2,4,8,9,10,1,1
29,MS,F,18,U,T,mother,1,2,0,yes,yes,1,0,15,15,15,1,1
30,MS,F,17,R,T,mother,1,2,0,yes,yes,1,17,10,10,10,0,0
31,MS,M,18,U,T,father,1,2,0,yes,yes,2,4,15,14,14,1,1
32,MS,M,18,R,T,mother,2,1,0,no,yes,5,5,7,6,7,0,0
33,MS,M,17,U,T,father,2,2,0,no,yes,3,2,11,11,10,1,1
34,MS,M,19,R,T,mother,2,1,1,no,no,5,0,6,5,0,0,0
35,MS,M,18,R,T,father,2,1,1,yes,no,3,14,6,5,5,0,0
36,MS,F,18,R,T,mother,2,3,0,yes,no,4,2,10,9,10,1,1
37,MS,F,18,R,T,mother,3,1,0,yes,yes,5,7,6,5,6,0,0
38,MS,F,19,R,T,mother,1,3,1,no,yes,5,0,7,5,0,0,0
39,MS,F,18,U,T,mother,1,2,0,yes,yes,1,0,7,9,8,0,0
40,MS,F,18,U,T,mother,2,2,1,no,no,5,0,6,5,0,0,0
41,MS,M,20,U,A,other,1,2,2,yes,no,4,11,9,9,9,0,0
42,MS,M,17,U,T,mother,2,1,0,no,yes,2,3,14,16,16,0,1
43,MS,M,21,R,T,other,1,1,3,no,no,3,3,10,8,7,0,0
44,MS,M,18,R,T,mother,3,1,0,no,yes,5,0,11,12,10,1,1
45,MS,M,19,U,T,father,1,1,0,no,yes,5,5,8,9,9,0,0
