,school,sex,age,address,Pstatus,guardian,traveltime,studytime,failures,paid,internet,health,absences,G1,G2,G3,extra,approved
0,MS,F,16,U,T,father,2,1,0,no,yes,5,11,10,11,11,1,1
1,MS,F,16,R,T,mother,2,2,0,no,yes,5,0,12,12,12,1,1
2,MS,F,15,R,T,mother,1,1,1,no,no,2,6,10,10,10,1,1
3,MS,F,15,R,T,mother,2,1,0,no,yes,5,4,10,10,11,1,1
4,MS,F,16,R,T,mother,2,2,0,no,no,5,0,16,17,17,0,1
5,MS,F,15,R,T,mother,2,1,0,no,no,1,0,6,8,9,0,0
6,MS,M,16,R,A,mother,1,2,0,no,no,2,5,10,11,11,1,1
7,MS,M,16,U,A,mother,1,3,0,no,yes,5,0,10,11,11,1,1
8,MS,F,17,R,T,father,1,2,1,no,no,5,0,10,10,10,1,1
9,MS,F,17,R,T,father,1,1,1,no,yes,5,0,6,6,7,0,0
10,MS,F,15,R,T,mother,2,1,0,no,yes,5,0,13,14,14,1,1
11,MS,F,16,U,A,mother,2,4,0,no,no,1,4,10,9,11,1,1
12,MS,F,15,R,T,father,2,2,0,no,yes,4,0,10,10,10,1,1
13,MS,F,15,R,T,mother,2,1,1,no,yes,2,4,6,7,8,0,0
14,MS,F,16,R,T,mother,2,1,0,no,no,2,0,12,11,12,1,1
15,MS,F,17,R,T,mother,2,1,0,no,yes,3,2,10,11,12,1,1
16,MS,F,15,R,T,father,2,1,0,no,yes,4,0,14,16,16,0,1
17,MS,M,16,U,T,mother,2,2,0,no,no,3,0,7,0,0,0,0
18,MS,M,17,U,T,mother,1,2,0,yes,yes,5,4,8,9,9,0,0
19,MS,M,15,R,T,father,1,2,0,no,yes,2,0,12,13,14,1,1
20,MS,M,15,R,T,father,1,2,0,no,yes,2,7,7,9,8,0,0
21,MS,M,16,R,T,mother,3,2,0,no,no,5,4,9,10,11,1,1
22,MS,M,15,R,T,mother,4,2,0,no,no,4,8,7,9,9,0,0
23,MS,M,15,U,T,father,1,2,0,no,yes,5,0,11,11,11,1,1
24,MS,M,17,R,T,mother,3,1,0,no,no,3,8,8,10,9,0,0
25,MS,F,16,R,T,mother,2,3,0,no,yes,4,6,16,16,17,0,1
26,MS,F,15,R,T,mother,2,1,0,no,no,1,3,11,13,13,1,1
27,MS,F,16,R,T,mother,3,2,0,no,yes,1,2,15,15,15,1,1
28,MS,M,16,R,T,father,2,2,0,no,no,5,0,10,11,11,1,1
29,MS,F,16,R,T,mother,3,2,0,no,yes,4,4,9,10,11,1,1
30,MS,F,16,U,T,mother,1,3,1,no,no,4,0,10,8,8,0,0
31,MS,F,16,U,T,mother,1,3,1,no,no,4,3,9,8,8,0,0
32,MS,F,15,U,T,mother,1,2,0,no,yes,2,0,9,10,9,0,0
33,MS,F,16,U,T,father,1,2,0,no,no,2,0,13,14,15,1,1
34,MS,M,17,R,T,mother,1,1,0,no,yes,3,4,10,11,11,1,1
35,MS,F,16,R,T,father,4,4,0,no,yes,1,0,13,10,13,1,1
36,MS,F,16,R,T,father,4,3,0,no,no,5,2,10,9,10,1,1
37,MS,F,15,R,T,father,2,2,0,no,yes,2,1,11,10,11,1,1
38,MS,F,16,R,T,mother,2,1,0,no,yes,2,0,13,12,14,1,1
39,MS,F,15,R,T,father,3,2,0,no,no,2,0,13,14,14,1,1
40,MS,F,15,R,T,father,1,3,0,no,no,5,2,14,11,12,1,1
41,MS,M,16,R,T,father,2,1,0,no,no,5,6,11,11,11,1,1
42,MS,F,18,U,T,father,1,2,1,no,yes,5,9,9,8,8,0,0
43,MS,M,15,U,T,mother,2,1,0,no,no,4,0,10,9,11,1,1
44,MS,F,16,R,T,father,3,2,0,no,yes,2,1,14,13,14,1,1
45,MS,M,15,U,T,mother,3,1,0,no,no,4,1,13,12,13,1,1
46,MS,M,16,U,T,father,1,2,0,no,no,3,0,13,12,13,1,1
47,MS,F,15,R,T,mother,1,2,0,no,yes,1,4,13,12,12,1,1
48,MS,F,16,R,T,mother,2,2,1,no,no,5,2,12,11,12,1,1
49,MS,F,16,R,T,father,3,1,0,no,no,4,0,14,14,16,0,1
50,MS,M,16,U,T,mother,2,1,0,no,yes,4,4,10,8,10,1,1
51,MS,M,15,R,T,father,3,1,0,no,yes,3,2,10,11,11,1,1
52,MS,F,15,U,T,mother,2,3,0,no,no,4,0,12,13,14,1,1
53,MS,F,16,R,T,mother,1,1,0,no,yes,5,2,10,8,8,0,0
54,MS,M,15,U,T,father,2,1,0,no,yes,3,11,12,10,11,1,1
55,MS,F,16,R,T,father,2,2,3,no,no,1,0,7,7,8,0,0
56,MS,F,17,U,T,mother,1,1,0,no,no,5,4,9,9,10,1,1
57,MS,F,19,U,T,other,1,1,1,no,yes,2,0,9,9,10,1,1
58,MS,F,17,R,T,mother,3,1,0,no,no,3,2,9,10,11,1,1
59,MS,F,15,R,T,mother,2,1,0,no,no,4,0,9,10,9,0,0
60,MS,F,16,R,T,father,3,2,0,no,yes,1,1,9,10,11,1,1
61,MS,F,16,U,A,mother,1,1,0,no,no,1,6,7,7,8,0,0
62,MS,F,17,R,T,mother,2,2,0,no,yes,4,0,11,10,11,1,1
63,MS,F,16,U,T,father,1,1,1,yes,yes,3,1,9,10,10,1,1
64,MS,F,18,R,A,other,2,3,2,no,no,2,6,7,9,10,1,1
65,MS,F,19,U,T,mother,1,3,1,no,no,3,6,7,9,9,0,0
66,MS,M,18,R,T,mother,2,1,1,no,yes,4,0,8,9,10,1,1
67,MS,F,18,R,T,mother,2,1,1,no,yes,2,4,9,11,10,1,1
68,MS,F,19,U,T,other,2,2,1,no,yes,1,12,7,8,9,0,0
69,MS,F,16,R,A,mother,1,2,0,no,no,3,2,8,10,10,1,1
70,MS,F,17,U,T,father,2,1,0,no,no,5,5,9,9,10,1,1
71,MS,F,16,R,T,mother,1,2,0,no,yes,3,0,8,9,9,0,0
72,MS,F,16,U,T,mother,1,1,0,no,yes,4,0,14,13,13,1,1
73,MS,F,16,R,T,mother,1,1,0,no,yes,4,2,14,14,14,1,1
74,MS,M,17,U,T,mother,2,4,1,yes,no,5,0,10,11,10,1,1
75,MS,F,16,U,T,mother,1,2,0,no,yes,1,0,14,13,14,1,1
76,MS,F,16,U,T,mother,1,1,0,yes,no,5,0,17,16,16,0,1
77,MS,M,17,U,T,father,1,1,1,no,yes,1,12,6,7,7,0,0
78,MS,M,16,U,T,father,1,1,0,no,yes,5,8,14,12,13,1,1
79,MS,M,17,R,T,mother,3,4,1,no,no,3,2,10,8,9,0,0
80,MS,F,16,U,T,other,1,4,0,no,yes,5,0,14,14,14,1,1
81,MS,F,19,U,T,mother,1,3,0,no,yes,1,0,12,13,13,1,1
82,MS,F,17,R,T,mother,2,1,0,no,yes,5,0,11,11,11,1,1
83,MS,F,20,U,T,mother,2,2,1,no,yes,3,8,11,9,10,1,1
84,MS,F,17,U,T,father,1,3,0,no,no,3,0,11,11,10,1,1
85,MS,M,17,R,T,mother,3,1,1,no,yes,5,0,10,9,9,0,0
86,MS,F,16,R,T,father,3,2,0,no,no,1,0,16,17,18,0,1
87,MS,F,17,R,T,mother,2,2,0,no,no,1,0,15,17,17,0,1
88,MS,F,17,U,A,mother,2,2,0,no,yes,4,1,11,9,10,1,1
89,MS,F,18,R,T,mother,1,2,1,no,yes,5,9,7,7,7,0,0
90,MS,F,16,U,T,mother,1,1,0,no,yes,1,0,8,6,8,0,0
91,MS,F,16,U,T,mother,1,1,0,no,yes,3,2,7,6,7,0,0
92,MS,F,18,U,T,mother,2,2,0,no,no,3,8,9,8,10,1,1
93,MS,F,16,R,T,father,1,2,0,no,yes,2,0,14,16,16,0,1
94,MS,F,16,R,T,mother,2,1,0,no,yes,2,0,14,14,15,1,1
95,MS,F,18,U,A,father,1,2,1,no,yes,1,8,8,5,8,0,0
96,MS,M,16,R,T,mother,2,2,0,no,yes,2,0,8,7,0,0,0
97,MS,F,16,U,T,mother,3,2,0,no,yes,5,6,6,8,8,0,0
98,MS,F,16,R,T,mother,2,2,0,no,yes,2,0,8,10,10,1,1
99,MS,F,16,U,T,mother,1,2,0,no,yes,3,4,8,8,8,0,0
100,MS,M,18,U,T,mother,1,4,0,no,yes,5,2,5,6,6,0,0
101,MS,F,16,R,T,mother,3,2,0,no,no,2,2,7,9,8,0,0
